Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2026-03-17 04:00,Exit Long,6730,2,672800,200,0.03,200,0.03,-450,-0.07,200,0.00
1,Entry long,2026-03-17 03:50,Long trade,6728,2,672800,200,0.03,200,0.03,-450,-0.07,200,0.00
2,Exit long,2026-03-17 04:15,Exit Long,6728.75,2,672650,225,0.03,225,0.03,-325,-0.05,425,0.00
2,Entry long,2026-03-17 04:10,Long trade,6726.5,2,672650,225,0.03,225,0.03,-325,-0.05,425,0.00
3,Exit long,2026-03-17 04:25,Exit Long,6728,2,672600,200,0.03,200,0.03,0,0.00,625,0.00
3,Entry long,2026-03-17 04:25,Long trade,6726,2,672600,200,0.03,200,0.03,0,0.00,625,0.00
4,Exit long,2026-03-17 04:30,Exit Long,6725.75,2,672375,200,0.03,200,0.03,-75,-0.01,825,0.00
4,Entry long,2026-03-17 04:30,Long trade,6723.75,2,672375,200,0.03,200,0.03,-75,-0.01,825,0.00
5,Exit short,2026-03-18 05:45,Exit Short,6807.5,2,680925,175,0.03,175,0.03,-75,-0.01,1000,0.00
5,Entry short,2026-03-18 05:45,Short trade,6809.25,2,680925,175,0.03,175,0.03,-75,-0.01,1000,0.00
6,Exit short,2026-03-18 06:25,Exit Short,6809,2,681075,175,0.03,175,0.03,-100,-0.01,1175,0.00
6,Entry short,2026-03-18 06:20,Short trade,6810.75,2,681075,175,0.03,175,0.03,-100,-0.01,1175,0.00
7,Exit short,2026-03-18 07:20,Exit Short,6804.75,2,680650,175,0.03,175,0.03,-75,-0.01,1350,0.00
7,Entry short,2026-03-18 07:20,Short trade,6806.5,2,680650,175,0.03,175,0.03,-75,-0.01,1350,0.00
8,Exit long,2026-03-18 10:05,Exit Long,6749.5,2,674775,175,0.03,175,0.03,-275,-0.04,1525,0.00
8,Entry long,2026-03-18 10:05,Long trade,6747.75,2,674775,175,0.03,175,0.03,-275,-0.04,1525,0.00
9,Exit long,2026-03-19 03:40,Exit Long,6664.5,2,666275,175,0.03,175,0.03,-375,-0.06,1700,0.00
9,Entry long,2026-03-19 03:35,Long trade,6662.75,2,666275,175,0.03,175,0.03,-375,-0.06,1700,0.00
10,Exit long,2026-03-19 03:45,Exit Long,6662.5,2,666075,175,0.03,175,0.03,-25,0.00,1875,0.00
10,Entry long,2026-03-19 03:45,Long trade,6660.75,2,666075,175,0.03,175,0.03,-25,0.00,1875,0.00
11,Exit long,2026-03-19 04:00,Exit Long,6661.75,2,665975,200,0.03,200,0.03,-475,-0.07,2075,0.00
11,Entry long,2026-03-19 03:55,Long trade,6659.75,2,665975,200,0.03,200,0.03,-475,-0.07,2075,0.00
12,Exit long,2026-03-19 04:05,Exit Long,6658.5,2,665650,200,0.03,200,0.03,-125,-0.02,2275,0.00
12,Entry long,2026-03-19 04:05,Long trade,6656.5,2,665650,200,0.03,200,0.03,-125,-0.02,2275,0.00